feature	abs_weight	weight
nummod	4.36793669526164	4.36793669526164
conj	1.1803083942458044	-1.1803083942458044
appos	0.6917402927093659	-0.6917402927093659
iobj	0.666559217796943	-0.666559217796943
mdd	0.6111154397316396	-0.6111154397316396
mpred	0.6087585133486757	-0.6087585133486757
poss	0.5864476756290393	0.5864476756290393
advqua	0.5073879878188621	-0.5073879878188621
deverb	0.48144852908933644	-0.48144852908933644
cop	0.4544598277960026	-0.4544598277960026
mhd	0.392559230746067	-0.392559230746067
addit	0.3812026672565718	-0.3812026672565718
advcl	0.36379193309027247	-0.36379193309027247
obl_obj	0.3264739227673161	-0.3264739227673161
obj	0.3142338445497217	-0.3142338445497217
fin	0.3142081771543028	0.3142081771543028
pastv	0.30523211116751314	0.30523211116751314
parataxis	0.2640282206726079	-0.2640282206726079
xcomp	0.24662469561592326	-0.24662469561592326
ppron	0.22255044860532003	0.22255044860532003
advmod_verb	0.22162275054412117	0.22162275054412117
fixed	0.2121330791682825	0.2121330791682825
advmod	0.20477183368350182	-0.20477183368350182
mean_sent_wc	0.18881830927338722	0.18881830927338722
discourse	0.18738460007282365	0.18738460007282365
prep	0.1698873185470442	0.1698873185470442
simple	0.16813184724730545	-0.16813184724730545
vo_noun	0.14555680635535695	-0.14555680635535695
nsubj	0.14400351638431763	-0.14400351638431763
compound	0.13475581364268976	-0.13475581364268976
vs_noun	0.12829346909213513	-0.12829346909213513
acl	0.1160936053717907	-0.1160936053717907
mark	0.11338632040699359	0.11338632040699359
cconj	0.11129133170885108	0.11129133170885108
demdets	0.11052836346339534	-0.11052836346339534
amod	0.10540178568173952	0.10540178568173952
tempseq	0.09996998550821878	0.09996998550821878
negs	0.09664029064568691	0.09664029064568691
nachfeld	0.09178994926432837	0.09178994926432837
aux	0.09172022910771516	-0.09172022910771516
obl	0.0888454991607881	-0.0888454991607881
dens	0.08648491612450604	0.08648491612450604
wdlen	0.08594989689469568	0.08594989689469568
flat	0.07398340100430234	-0.07398340100430234
nn	0.06872968274310676	-0.06872968274310676
advers	0.06775461884441203	-0.06775461884441203
ttr	0.06527440159064812	0.06527440159064812
ccomp	0.060967995281360654	-0.060967995281360654
self	0.04693794487661895	-0.04693794487661895
vorfeld	0.044792278340179514	0.044792278340179514
caus	0.02790693583948184	-0.02790693583948184
nnargs	0.01182949382756826	-0.01182949382756826
inf	0.010503173272543243	0.010503173272543243
aux:pass	0.00919362303636162	0.00919362303636162
numcls	0.00351473197505614	0.00351473197505614
sconj	0.0004088671337543204	0.0004088671337543204
epist	3.0176665926084922e-06	3.0176665926084922e-06
nmod	0.0	0.0
