seg_id	src_raw	tgt_raw	prompt	prompt_len	thresholds
ORG_WR_EN_DE_006064-1	In six short months, the presidency has conspired to undermine the Stability Pact, has shown contempt for the European Union's policy towards Russia and offended Canada.	In sechs kurzen Monaten ist es dem Ratsvorsitz gelungen, den Stabilitätspakt zu unterminieren, die Politik der Europäischen Union gegenüber Russland zu missachten und Kanada zu beleidigen.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```In six short months, the presidency has conspired to undermine the Stability Pact, has shown contempt for the European Union's policy towards Russia and offended Canada.```
This is its human translation into German: ```In sechs kurzen Monaten ist es dem Ratsvorsitz gelungen, den Stabilitätspakt zu unterminieren, die Politik der Europäischen Union gegenüber Russland zu missachten und Kanada zu beleidigen.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	94.5	[]
ORG_WR_EN_DE_006064-2	The President-in-Office has treated us to a 40-minute catalogue of the achievements of his term of office.	Der amtierende Ratspräsident hat 40 Minuten lang die Errungenschaften seiner Amtszeit aufgelistet.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```The President-in-Office has treated us to a 40-minute catalogue of the achievements of his term of office.```
This is its human translation into German: ```Der amtierende Ratspräsident hat 40 Minuten lang die Errungenschaften seiner Amtszeit aufgelistet.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	77.25	[]
ORG_WR_EN_DE_006064-3	Yet it is hard to escape the conclusion that this presidency and IGC have been a personal failure for the President of the European Council.	Dennoch muss man fast zwangsläufig zu dem Schluss kommen, dass dieser Ratsvorsitz und die Regierungskonferenz eine persönliche Niederlage für den Präsidenten des Europäischen Rates darstellen.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```Yet it is hard to escape the conclusion that this presidency and IGC have been a personal failure for the President of the European Council.```
This is its human translation into German: ```Dennoch muss man fast zwangsläufig zu dem Schluss kommen, dass dieser Ratsvorsitz und die Regierungskonferenz eine persönliche Niederlage für den Präsidenten des Europäischen Rates darstellen.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	93.0	[]
ORG_WR_EN_DE_006064-4	The 'piece of paper' in Mr Berlusconi's pocket turned out to be a gelato -stained napkin with a few bad jokes scribbled on it.	Das „Blatt Papier“ in Herrn Berlusconis Tasche erwies sich als eine mit Eiskrem verschmierte Serviette, auf der er sich ein Paar schlechte Witze notiert hatte.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```The 'piece of paper' in Mr Berlusconi's pocket turned out to be a gelato -stained napkin with a few bad jokes scribbled on it.```
This is its human translation into German: ```Das „Blatt Papier“ in Herrn Berlusconis Tasche erwies sich als eine mit Eiskrem verschmierte Serviette, auf der er sich ein Paar schlechte Witze notiert hatte.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	92.25	[]
ORG_WR_EN_DE_006064-5	The President came to the IGC poorly prepared; he ignored the warnings of this House that holding back compromise proposals would produce this kind of stalemate.	Der Präsident hatte sich schlecht auf die Regierungskonferenz vorbereitet. Er ignorierte die Warnungen dieses Hauses, dass ein Zurückhalten der Kompromissvorschläge diese Art von Patt zur Folge haben würde.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```The President came to the IGC poorly prepared; he ignored the warnings of this House that holding back compromise proposals would produce this kind of stalemate.```
This is its human translation into German: ```Der Präsident hatte sich schlecht auf die Regierungskonferenz vorbereitet. Er ignorierte die Warnungen dieses Hauses, dass ein Zurückhalten der Kompromissvorschläge diese Art von Patt zur Folge haben würde.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	96.0	[]
ORG_WR_EN_DE_006064-6	While the Americans were digging Saddam Hussein out of a hole in Iraq to global acclaim, our leaders were digging themselves into a hole in Brussels.	Während die Amerikaner Saddam Hussein aus einem Loch im Irak ausgruben und dafür weltweite Anerkennung erhielten, haben sich unsere Staats- und Regierungschefs in Brüssel selbst eingegraben.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```While the Americans were digging Saddam Hussein out of a hole in Iraq to global acclaim, our leaders were digging themselves into a hole in Brussels.```
This is its human translation into German: ```Während die Amerikaner Saddam Hussein aus einem Loch im Irak ausgruben und dafür weltweite Anerkennung erhielten, haben sich unsere Staats- und Regierungschefs in Brüssel selbst eingegraben.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	94.5	[]
ORG_WR_EN_DE_006064-7	A successful summit needed two things: political will on the part of the major countries, and skilful diplomatic leadership.	Erfolgreich wäre der Gipfel nur dann gewesen, wenn die großen Länder politischen Willen gezeigt hätten und der Vorsitz diplomatisches Geschick bewiesen hätte.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```A successful summit needed two things: political will on the part of the major countries, and skilful diplomatic leadership.```
This is its human translation into German: ```Erfolgreich wäre der Gipfel nur dann gewesen, wenn die großen Länder politischen Willen gezeigt hätten und der Vorsitz diplomatisches Geschick bewiesen hätte.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	86.25	[]
ORG_WR_EN_DE_006064-8	It showed neither.	Beides fehlte.	bypassed re-writing pipeline	0.0	[]
ORG_WR_EN_DE_006064-9	This IGC was not fated to fail it chose to.	Die Regierungskonferenz war nicht zum Scheitern verurteilt – sie tat es aus freien Stücken.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```This IGC was not fated to fail it chose to.```
This is its human translation into German: ```Die Regierungskonferenz war nicht zum Scheitern verurteilt – sie tat es aus freien Stücken.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	73.5	[]
ORG_WR_EN_DE_006064-10	Five countries walked away from an agreement which everybody needed but none of them wanted enough.	Fünf Länder gingen einer Einigung aus dem Weg, die alle brauchten und keiner wirklich ernsthaft wollte.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```Five countries walked away from an agreement which everybody needed but none of them wanted enough.```
This is its human translation into German: ```Fünf Länder gingen einer Einigung aus dem Weg, die alle brauchten und keiner wirklich ernsthaft wollte.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	79.5	[]
ORG_WR_EN_DE_006064-11	Yes, a delayed deal is better than a bad one.	Es stimmt, eine verspätete Einigung ist besser als gar keine Einigung.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```Yes, a delayed deal is better than a bad one.```
This is its human translation into German: ```Es stimmt, eine verspätete Einigung ist besser als gar keine Einigung.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	71.25	[]
ORG_WR_EN_DE_006064-12	But the problem with postponing a decision by kicking it into the long grass is that you might not find it again.	Doch man verliert eine Entscheidung leicht aus den Augen, wenn man sie auf die lange Bank schiebt.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```But the problem with postponing a decision by kicking it into the long grass is that you might not find it again.```
This is its human translation into German: ```Doch man verliert eine Entscheidung leicht aus den Augen, wenn man sie auf die lange Bank schiebt.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	84.75	[]
ORG_WR_EN_DE_006064-13	Especially with a crowded agenda ahead which includes negotiations on the next financial perspectives, talks on Turkish membership and elections in Spain, Britain and Italy.	Das gilt vor allem angesichts voller Terminkalender, die Verhandlungen über die nächste finanzielle Vorausschau, Gespräche zur türkischen EU-Mitgliedschaft und Wahlen in Spanien, Großbritannien und Italien umfassen.	"Your task is to re-write a human translation in a more natural way if necessary.
Here is an original English text: ```Especially with a crowded agenda ahead which includes negotiations on the next financial perspectives, talks on Turkish membership and elections in Spain, Britain and Italy.```
This is its human translation into German: ```Das gilt vor allem angesichts voller Terminkalender, die Verhandlungen über die nächste finanzielle Vorausschau, Gespräche zur türkischen EU-Mitgliedschaft und Wahlen in Spanien, Großbritannien und Italien umfassen.```  
If this translation can be revised to sound more like a text originally produced in the target language, return a revised version. If this translation sounds natural enough, return the input translation.
Do not add any meta-phrases or quotation marks. Do not copy the original text."	93.75	[]
