seg_id	src_raw	tgt_raw	prompt	prompt_len	thresholds
ORG_WR_DE_EN_004321-1	Zumindest dachten wir dies damals.	There have indeed been changes.	bypassed re-writing pipeline	0.0	[]
ORG_WR_DE_EN_004321-2	Eine Allianz gegen den Terror wurde geschmiedet unter einem UNO-Mandat.	Under UN mandate, an alliance against terrorism was forged.	copy over the translation intact	0.0	[]
ORG_WR_DE_EN_004321-3	Erstmals wurde eine Krise zum Nato-Fall erklärt, der Artikel 5 trat in Kraft.	For the first time, a crisis was declared to be a matter for NATO, Article 5 of whose Treaty was invoked.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```Erstmals wurde eine Krise zum Nato-Fall erklärt, der Artikel 5 trat in Kraft.``` 
This is its human translation into English: ```For the first time, a crisis was declared to be a matter for NATO, Article 5 of whose Treaty was invoked.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Avoid appositional modifier. An appositional modifier is a nominal immediately following the first noun that serves to define, modify, name, or describe that noun. For example, Sam, my brother, ..., The Australian Broadcasting Corporation (ABC)...
Avoid passive constructions.
Avoid Simple Past in favour of other ways of indicating the past tense. 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	126.75	[('appos', 1.0, 0.06, 'remove', 0.2579904667442826), ('aux:pass', 2.0, 0.248, 'remove', 0.5201914124243796), ('pastv', 4.0, 0.966, 'remove', 1.2106250124728208)]
ORG_WR_DE_EN_004321-4	Der amerikanische Präsident Bush forderte den Kopf Osama Bin Ladens, des saudischen Milliardärs, der an der Spitze des El-Kaida-Netzwerkes stand, und der Krieg gegen den Terror hatte einen ersten wesentlichen Erfolg in Afghanistan selbst durch die Vertreibung des fundamentalistischen, im allgemeinen menschen- und im besonderen frauenfeindlichen Taliban-Regimes und die Etablierung einer in den demokratischen Anfängen stehenden Übergangsregierung unter Präsident Karsai.	The American President Bush called for the head of Osama Bin Laden, the Saudi billionaire who headed up the al—Qa’ida network, and the war against terrorism met with its first significant success in Afghanistan itself, where the fundamentalist Taliban regime, which was generally inhumane and in particular hostile to women, was driven from power and an interim government under President Karzai, which is putting down democratic roots, was established.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```Der amerikanische Präsident Bush forderte den Kopf Osama Bin Ladens, des saudischen Milliardärs, der an der Spitze des El-Kaida-Netzwerkes stand, und der Krieg gegen den Terror hatte einen ersten wesentlichen Erfolg in Afghanistan selbst durch die Vertreibung des fundamentalistischen, im allgemeinen menschen- und im besonderen frauenfeindlichen Taliban-Regimes und die Etablierung einer in den demokratischen Anfängen stehenden Übergangsregierung unter Präsident Karsai.``` 
This is its human translation into English: ```The American President Bush called for the head of Osama Bin Laden, the Saudi billionaire who headed up the al—Qa’ida network, and the war against terrorism met with its first significant success in Afghanistan itself, where the fundamentalist Taliban regime, which was generally inhumane and in particular hostile to women, was driven from power and an interim government under President Karzai, which is putting down democratic roots, was established.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Avoid appositional modifier. An appositional modifier is a nominal immediately following the first noun that serves to define, modify, name, or describe that noun. For example, Sam, my brother, ..., The Australian Broadcasting Corporation (ABC)...
Avoid passive constructions.
Reduce the number of subject relations per sentence. A subject is a nominal which is the syntactic subject and the proto-agent of a clause.
Avoid prepositional nominals in adverbial function. They function as optional arguments dependent on verb, adjective or another adjective.
Use non-finite constructions instead of full clauses. Finite verb forms function as main predicates, they usually agree with subjects in person and have different forms for various tenses.
Avoid adjectival modifier. An adjectival modifier of a noun (or pronoun) is any adjectival phrase that serves to modify the noun (or pronoun). For example, large house.
Avoid Simple Past in favour of other ways of indicating the past tense.
Make sentences shorter. 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	273.0	[('appos', 1.0, 0.06, 'remove', 0.2579904667442826), ('aux:pass', 2.0, 0.248, 'remove', 0.5201914124243796), ('nsubj', 5.0, 1.896, 'remove', 1.1807965480950962), ('obl', 6.0, 1.304, 'remove', 1.186941294770656), ('fin', 7.0, 2.289, 'remove', 1.2545283751157683), ('amod', 7.0, 1.702, 'remove', 1.5908212379629842), ('pastv', 8.0, 0.966, 'remove', 1.2106250124728208), ('mean_sent_wc', 79.0, 27.503, 'remove', 12.967755194097917)]
ORG_WR_DE_EN_004321-5	Ein Jahr danach sind wir uns natürlich alle bewusst, dass der Kampf gegen den Terror, wie Präsident Bush auch einmal sagte, lange dauern wird, auf verschiedenen Ebenen stattfindet und rasche Erfolge illusorisch sind.	One year on, we are of course all aware that the struggle against terrorism, as President Bush himself once said, will be a long one at various levels, and that quick victories are illusory.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```Ein Jahr danach sind wir uns natürlich alle bewusst, dass der Kampf gegen den Terror, wie Präsident Bush auch einmal sagte, lange dauern wird, auf verschiedenen Ebenen stattfindet und rasche Erfolge illusorisch sind.``` 
This is its human translation into English: ```One year on, we are of course all aware that the struggle against terrorism, as President Bush himself once said, will be a long one at various levels, and that quick victories are illusory.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Keep words closer to their syntactic heads.
Avoid constructions with copula verbs. A copula verb is a function word used to link a subject to a nonverbal predicate, including the expression of identity predication (e.g. sentences like ""Kim is the President"").
Avoid adverbial modifiers. An adverbial modifier of a word is a (non-clausal) adverb or adverbial phrase that serves to modify a predicate or a modifier word. 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	163.5	[('mdd', 4.090909090909091, 2.668, 'remove', 0.565767850742724), ('cop', 3.0, 0.529, 'remove', 0.6812190660105828), ('advmod', 4.0, 1.112, 'remove', 1.194652345237607)]
ORG_WR_DE_EN_004321-6	In Afghanistan selbst herrscht die Regierung Karsai de facto nur in Kabul.	In Afghanistan itself, the Karzai government enjoys de facto power only in Kabul.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```In Afghanistan selbst herrscht die Regierung Karsai de facto nur in Kabul.``` 
This is its human translation into English: ```In Afghanistan itself, the Karzai government enjoys de facto power only in Kabul.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Avoid adverbial quantifiers. An adverbial quantifier is a word that is used to characterise the action named by the predicate. Adverbial quantifiers include words like absolutely, completely, highly, mildly, partially, scarcely, thoroughly, rather, perfectly. 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	107.25	[('advqua', 0.0666666666666666, 0.008, 'remove', 0.0189658859353311)]
ORG_WR_DE_EN_004321-7	Die Autorität der verschiedenen Volksstämmen angehörigen diversen Provinzfürsten ist ungebrochen oder hat sich sogar gefestigt. Die Ermordung von Kommandant Massoud ist dafür ebenso ein Beweis wie der Mord an Afghanistans Vizepräsident Abdul Kadir, dessen Feinde rivalisierende Drogenbarone, Anhänger Osama Bin Ladens und der Taliban, möglicherweise aber auch Verbündete aus der Nordallianz waren, die sich übergangen fühlten.	The authority of the various provincial rulers belonging to different tribes is undiminished, and has, in some instances, even been reinforced, a fact demonstrated just as much by the murder of Commander Massoud as by the murder of Afghanistan's Vice-President Abdul Qadir, who had incurred the enmity of rival drug baron, supporters of Osama Bin Laden and of the Taliban, but possibly also of members of the Northern Alliance who had felt themselves bypassed.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```Die Autorität der verschiedenen Volksstämmen angehörigen diversen Provinzfürsten ist ungebrochen oder hat sich sogar gefestigt. Die Ermordung von Kommandant Massoud ist dafür ebenso ein Beweis wie der Mord an Afghanistans Vizepräsident Abdul Kadir, dessen Feinde rivalisierende Drogenbarone, Anhänger Osama Bin Ladens und der Taliban, möglicherweise aber auch Verbündete aus der Nordallianz waren, die sich übergangen fühlten.``` 
This is its human translation into English: ```The authority of the various provincial rulers belonging to different tribes is undiminished, and has, in some instances, even been reinforced, a fact demonstrated just as much by the murder of Commander Massoud as by the murder of Afghanistan's Vice-President Abdul Qadir, who had incurred the enmity of rival drug baron, supporters of Osama Bin Laden and of the Taliban, but possibly also of members of the Northern Alliance who had felt themselves bypassed.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Use explicit markers of discourse relations to indicate relations between parts of sentences or separate sentences.
Reduce the frequency of auxiliary verbs. An auxiliary of a clause is a function word associated with a verbal predicate that expresses categories such as tense, mood, aspect, voice or evidentiality.
Use non-finite constructions instead of full clauses. Finite verb forms function as main predicates, they usually agree with subjects in person and have different forms for various tenses.
Avoid adjectival modifier. An adjectival modifier of a noun (or pronoun) is any adjectival phrase that serves to modify the noun (or pronoun). For example, large house.
Avoid adverbial modifiers. An adverbial modifier of a word is a (non-clausal) adverb or adverbial phrase that serves to modify a predicate or a modifier word.
Avoid Simple Past in favour of other ways of indicating the past tense.
Make sentences shorter. 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	268.5	[('parataxis', 1.0, 0.059, 'remove', 0.2518102061773988), ('aux', 3.0, 0.853, 'remove', 0.8634751209802761), ('fin', 5.0, 2.289, 'remove', 1.2545283751157683), ('amod', 5.0, 1.702, 'remove', 1.5908212379629842), ('advmod', 6.0, 1.112, 'remove', 1.194652345237607), ('pastv', 8.0, 0.966, 'remove', 1.2106250124728208), ('mean_sent_wc', 85.0, 27.503, 'remove', 12.967755194097917)]
ORG_WR_DE_EN_004321-8	Auch ist völlig unklar, ob Osama Bin Laden noch am Leben ist oder nicht.	It is also far from clear whether or not Osama Bin Laden is still alive.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```Auch ist völlig unklar, ob Osama Bin Laden noch am Leben ist oder nicht.``` 
This is its human translation into English: ```It is also far from clear whether or not Osama Bin Laden is still alive.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Remove connectives that introduce additive information. They include, but not limited to, items like: also, for example, not only, in particular, such as, in this regard, too, with regard to, namely, in other words, in addition.
Remove connectives that introduce adversative information. Adversative connectives inclide, but are not limited to, the following items: however, still, actually, yet, instead, rather than, in fact, nevertheless, otherwise, on the contrary

Avoid constructions with copula verbs. A copula verb is a function word used to link a subject to a nonverbal predicate, including the expression of identity predication (e.g. sentences like ""Kim is the President""). 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	160.5	[('addit', 0.0625, 0.002, 'remove', 0.0099389491486392), ('advers', 0.0625, 0.002, 'remove', 0.0090980331720802), ('cop', 2.0, 0.529, 'remove', 0.6812190660105828)]
ORG_WR_DE_EN_004321-9	Fest steht, dass sich das El-Kaida-Netzwerk wieder regeneriert hat, sowohl was die Organisation der Guerilla betrifft, die sich nicht nur im benachbarten Pakistan reorganisiert, als auch was die Finanzquellen angeht, die nach wie vor kräftig sprudeln.	What is beyond doubt is that the al—Qa’ida network has regenerated itself and reorganised both its guerrilla organisation, which is active not only in the neighbouring Pakistan, and also its sources of finance, which continue to flow in abundance.	"Your task is to reduce translationese in a human translation by re-writing it in a more natural, less translated way.Translationese refers to any properties of translations that make them statistically distinct from texts originally produced in the target language. 
Here is an original German text: ```Fest steht, dass sich das El-Kaida-Netzwerk wieder regeneriert hat, sowohl was die Organisation der Guerilla betrifft, die sich nicht nur im benachbarten Pakistan reorganisiert, als auch was die Finanzquellen angeht, die nach wie vor kräftig sprudeln.``` 
This is its human translation into English: ```What is beyond doubt is that the al—Qa’ida network has regenerated itself and reorganised both its guerrilla organisation, which is active not only in the neighbouring Pakistan, and also its sources of finance, which continue to flow in abundance.``` 
Revise this translation following the instructions which reflect deviations of this segment from the expected target language norm: 
Remove connectives that introduce additive information. They include, but not limited to, items like: also, for example, not only, in particular, such as, in this regard, too, with regard to, namely, in other words, in addition.
Avoid constructions with copula verbs. A copula verb is a function word used to link a subject to a nonverbal predicate, including the expression of identity predication (e.g. sentences like ""Kim is the President"").
Use non-finite constructions instead of full clauses. Finite verb forms function as main predicates, they usually agree with subjects in person and have different forms for various tenses. 
Do not add any meta-phrases or quotation marks. Do not copy the original text."	192.75	[('addit', 0.0444444444444444, 0.002, 'remove', 0.0099389491486392), ('cop', 3.0, 0.529, 'remove', 0.6812190660105828), ('fin', 5.0, 2.289, 'remove', 1.2545283751157683)]
ORG_WR_DE_EN_004321-10	Wer immer heute die Herald Tribune gelesen hat, wird mit Ernüchterung den Bericht über Goldtransfers in den Sudan über Kanäle aus Pakistan und Iran zur Kenntnis genommen haben.	Anyone reading today's Herald Tribune will find a sobering report on the transfers of gold to Sudan through channels running from Pakistan and Iran.	copy over the translation intact	0.0	[]
