index	expected	HT	best	feature-based_min	feature-based_detailed	expected	HT	best	feature-based_min	feature-based_detailed
	de	de	de	de	de	en	en	en	en	en
addit	0.02	$\downarrow$	1	$\downarrow$	$\downarrow$	0.002	$\uparrow$	1	$\uparrow$	$\uparrow$*
advcl	0.312	$\uparrow$	1	$\downarrow$*	$\downarrow$*	0.552	$\uparrow$*	1	$\downarrow$	$\downarrow$
advmod	3.327	$\downarrow$	1	$\downarrow$	$\downarrow$	1.112	$\uparrow$	1	$\downarrow$	$\downarrow$
caus	0.012	$\downarrow$	1	$\downarrow$	$\downarrow$	0.002	$\uparrow$	0	$\downarrow$	$\downarrow$
fin	2.673	$\downarrow$	1	$\downarrow$	$\downarrow$	2.289	$\uparrow$	0	$\downarrow$	$\downarrow$
iobj	0.153	$\uparrow$	1	$\downarrow$*	$\downarrow$*	0.01	$\uparrow$	0	$\downarrow$*	$\downarrow$*
mdd	3.512	$\uparrow$	1	$\downarrow$	$\downarrow$	2.668	$\uparrow$	0	$\downarrow$	$\downarrow$
mean_sent_wc	29.222	$\downarrow$*	1	$\downarrow$	$\downarrow$	27.503	$\uparrow$	1	$\downarrow$	$\downarrow$
mhd	3.552	$\uparrow$	1	$\downarrow$	$\downarrow$	3.857	$\downarrow$*	1	$\downarrow$	$\downarrow$
nmod	1.257	$\uparrow$	1	$\downarrow$*	$\downarrow$*	1.562	$\downarrow$	1	$\downarrow$	$\downarrow$
nnargs	0.378	$\uparrow$	1	$\uparrow$	$\uparrow$	0.584	$\downarrow$	1	$\downarrow$	$\downarrow$
parataxis	0.173	$\downarrow$	1	$\downarrow$	$\downarrow$	0.059	$\uparrow$	0	$\downarrow$	$\downarrow$*
pastv	0.238	$\uparrow$	1	$\uparrow$	$\uparrow$	0.966	$\uparrow$	1	$\downarrow$	$\downarrow$
poss	0.006	$\uparrow$	1	$\uparrow$	$\uparrow$	0.012	$\downarrow$*	0	$\uparrow$	$\uparrow$
ttr	0.958	$\uparrow$	1	$\uparrow$	$\uparrow$	0.964	$\uparrow$*	0	$\uparrow$	$\uparrow$
acl	0.407	$\uparrow$	0	$\downarrow$*	$\downarrow$	0.372	$\downarrow$	0	$\downarrow$	$\downarrow$
advers	0.003	$\uparrow$*	0	$\uparrow$*	$\uparrow$*	0.002	$\uparrow$	1	$\uparrow$	$\uparrow$
advmod_verb	0.157	$\downarrow$	0	$\downarrow$	$\downarrow$	0.117	$\uparrow$	0	$\downarrow$*	$\downarrow$*
